TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-05 15:33:35,1770305615940,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,GET,,200,strbc-1770305615673-25383f49e562,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",error,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"Orders error: error: Tenant or user not found
    at file:///var/task/api/handler.js:15647:15
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async file:///var/task/node_modules/drizzle-orm/node-postgres/session.js:83:22
    at async DatabaseStorage.getAllOrders (file:///var/task/api/handler.js:20529:12)
    at async file:///var/task/api/handler.js:27441:25 {
  length: 52,
  severity: 'FATAL',
  code: 'XX000',
  detail: undefined,
  hint: undefined,
  position: undefined,
  internalPosition: undefined,
  internalQuery: undefined,
  where: undefined,
  schema: undefined,
  table: undefined,
  column: undefined,
  dataType: undefined,
  constraint: undefined,
  file: undefined,
  line: undefined,
  routine: undefined
}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:35,1770305615941,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,GET,,200,strbc-1770305615673-25383f49e562,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",info,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,3:33:35 PM [express] GET /api/orders 200 in 187ms :: [],prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:35,1770305615673,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,GET,,200,strbc-1770305615673-25383f49e562,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,193,iad1,267,2048,,prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,01KGQ6ZXVXGDJ0RZAXTGZMS89C,JDXhonrJKG0C,1
2026-02-05 15:33:35,1770305615612,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,POST,,200,jrl56-1770305615304-f6648c08433e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",error,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"Order create error: error: Tenant or user not found
    at file:///var/task/api/handler.js:15647:15
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async file:///var/task/node_modules/drizzle-orm/node-postgres/session.js:83:22
    at async DatabaseStorage.createOrder (file:///var/task/api/handler.js:20532:24)
    at async file:///var/task/api/handler.js:27454:21 {
  length: 52,
  severity: 'FATAL',
  code: 'XX000',
  detail: undefined,
  hint: undefined,
  position: undefined,
  internalPosition: undefined,
  internalQuery: undefined,
  where: undefined,
  schema: undefined,
  table: undefined,
  column: undefined,
  dataType: undefined,
  constraint: undefined,
  file: undefined,
  line: undefined,
  routine: undefined
}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:35,1770305615612,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,POST,,200,jrl56-1770305615304-f6648c08433e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",info,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"3:33:35 PM [express] POST /api/orders 200 in 231ms :: {""id"":0,""error"":""Failed to create order""}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:35,1770305615304,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/orders,POST,,200,jrl56-1770305615304-f6648c08433e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,238,iad1,267,2048,,prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,01KGQ6ZXFS4QBHNPPVCFZB69N4,JDXhonrJKG0C,1
2026-02-05 15:33:30,1770305610130,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,9xstk-1770305609667-f2bfb44eb7ba,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",error,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"Heartbeat error: error: Tenant or user not found
    at file:///var/task/api/handler.js:15647:15
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async file:///var/task/node_modules/drizzle-orm/node-postgres/session.js:83:22
    at async file:///var/task/api/handler.js:28080:21 {
  length: 52,
  severity: 'FATAL',
  code: 'XX000',
  detail: undefined,
  hint: undefined,
  position: undefined,
  internalPosition: undefined,
  internalQuery: undefined,
  where: undefined,
  schema: undefined,
  table: undefined,
  column: undefined,
  dataType: undefined,
  constraint: undefined,
  file: undefined,
  line: undefined,
  routine: undefined
}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:30,1770305610130,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,9xstk-1770305609667-f2bfb44eb7ba,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",info,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"3:33:30 PM [express] POST /api/gamification/heartbeat 200 in 188ms :: {""xpGained"":0,""message"":""Heartbeat failed silently""}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:29,1770305609667,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,9xstk-1770305609667-f2bfb44eb7ba,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,198,iad1,266,2048,,prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,01KGQ6ZR66JFFN0S6YQKR1R995,JDXhonrJKG0C,1
2026-02-05 15:33:27,1770305607701,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,jrl56-1770305607164-c729db8688f2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",error,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"Heartbeat error: error: Tenant or user not found
    at file:///var/task/api/handler.js:15647:15
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async file:///var/task/node_modules/drizzle-orm/node-postgres/session.js:83:22
    at async file:///var/task/api/handler.js:28080:21 {
  length: 52,
  severity: 'FATAL',
  code: 'XX000',
  detail: undefined,
  hint: undefined,
  position: undefined,
  internalPosition: undefined,
  internalQuery: undefined,
  where: undefined,
  schema: undefined,
  table: undefined,
  column: undefined,
  dataType: undefined,
  constraint: undefined,
  file: undefined,
  line: undefined,
  routine: undefined
}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:27,1770305607702,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,jrl56-1770305607164-c729db8688f2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",info,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"3:33:27 PM [express] POST /api/gamification/heartbeat 200 in 461ms :: {""xpGained"":0,""message"":""Heartbeat failed silently""}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:27,1770305607164,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/gamification/heartbeat,POST,,200,jrl56-1770305607164-c729db8688f2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,469,iad1,265,2048,,prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,01KGQ6ZNHVNVPYN7ABZY11DR39,JDXhonrJKG0C,1
2026-02-05 15:33:24,1770305604116,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/ai/chat,POST,,200,7rft2-1770305603856-862029f31704,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",error,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,AI chat error: Tenant or user not found,prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
2026-02-05 15:33:24,1770305604118,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app/api/ai/chat,POST,,200,7rft2-1770305603856-862029f31704,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",info,production,main,MISS,function,/api/handler,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dashboard-sb-team-axgypkcrf-savonas-projects-0cd29dae.vercel.app,dpl_3gvSnyMW6JqoE5EYy5pkQiXPeb1H,,,,,"3:33:24 PM [express] POST /api/ai/chat 200 in 192ms :: {""response"":""Désolé, je rencontre des difficultés techniques. Réessayez dans quelques instants.""}",prj_qGPYigLYbjXekJ1FJ2yLASrWwrVs,,,,,
